stock,term,algorithm,rmse,rmse_norm,epoch,unit,optimizer,batch_size
TLKM,medium,GRU,443.59000325146116,0.30382876935031583,50,50,sgd,64
TLKM,medium,RNN,245.42422722679905,0.1589728203566165,50,50,sgd,64
ASII,medium,LSTM,267.99871419377274,0.20074810051967992,50,100,rmsprop,32
ASII,medium,GRU,149.61164727499548,0.10855316265019826,50,100,rmsprop,32
ASII,medium,RNN,342.9507180391959,0.18408608745368563,50,100,rmsprop,32
AMRT,medium,LSTM,60.88179186102076,0.14849217527078226,50,100,rmsprop,32
AMRT,medium,GRU,59.19590255062841,0.138006756635273,50,100,rmsprop,32
AMRT,medium,RNN,75.77670061966039,0.1848212210235619,50,100,rmsprop,32
ADRO,medium,LSTM,97.88422383490229,0.11123207253966168,50,100,rmsprop,32
ADRO,medium,GRU,84.05847604103448,0.09552099550117554,50,100,rmsprop,32
ADRO,medium,RNN,478.51738688103836,0.5437697578193618,50,100,rmsprop,32
MAPI,medium,LSTM,123.98576348203649,0.16642384360004897,50,100,rmsprop,32
MAPI,medium,GRU,83.24116318155721,0.11173310494168753,50,100,rmsprop,32
MAPI,medium,RNN,190.62309865725945,0.23287668570345238,50,100,rmsprop,32
KLBF,medium,LSTM,39.886417408364316,0.17727296625939698,50,100,rmsprop,32
KLBF,medium,GRU,31.111165272209497,0.13827184565426448,50,100,rmsprop,32
KLBF,medium,RNN,136.01504567408514,0.26238846821557116,50,100,rmsprop,32
TLKM,medium,LSTM,192.76267613711744,0.13202923023090238,50,100,rmsprop,32
TLKM,medium,GRU,154.77657260890652,0.10601135110199078,50,100,rmsprop,32
TLKM,medium,RNN,283.4108372869118,0.1912513249319975,50,100,rmsprop,32
ASII,medium,LSTM,201.01781451444302,0.14410454190585678,50,100,adam,32
ASII,medium,GRU,153.46139871538833,0.10739784443922898,50,100,adam,32
ASII,medium,RNN,662.0563500339671,0.3044330221482804,50,100,adam,32
AMRT,medium,LSTM,78.57041365121533,0.17772145810850795,50,100,adam,32
AMRT,medium,GRU,56.57868888200305,0.12946258327114812,50,100,adam,32
AMRT,medium,RNN,69.09909670212042,0.16853438220029368,50,100,adam,32
ADRO,medium,LSTM,86.23788612944904,0.09799759787437387,50,100,adam,32
ADRO,medium,GRU,68.04917499638455,0.07587350001924298,50,100,adam,32
ADRO,medium,RNN,88.34247824631423,0.09559209800933308,50,100,adam,32
MAPI,medium,LSTM,84.32521625209849,0.11318820973436039,50,100,adam,32
MAPI,medium,GRU,67.49529555830453,0.08851181715977752,50,100,adam,32
MAPI,medium,RNN,97.03218933712533,0.1302445494458058,50,100,adam,32
KLBF,medium,LSTM,41.02707806110163,0.18106825416854938,50,100,adam,32
KLBF,medium,GRU,37.70065438984226,0.15805994616159538,50,100,adam,32
KLBF,medium,RNN,211.87327617904612,0.3795660301862825,50,100,adam,32
TLKM,medium,LSTM,164.77254854867854,0.11115640740737968,50,100,adam,32
TLKM,medium,GRU,99.29771129955111,0.06667684584108666,50,100,adam,32
TLKM,medium,RNN,236.08338700257502,0.13509278790763474,50,100,adam,32
ASII,medium,LSTM,698.9597689448437,0.4416330455275922,50,100,sgd,32
ASII,medium,GRU,337.5130211535474,0.2368656899038062,50,100,sgd,32
