stock,term,algorithm,rmse,rmse_norm,epoch,unit,optimizer,batch_size
ADRO,long,GRU,146.02754473248078,0.09242249666612706,50,50,sgd,64
ADRO,long,RNN,281.10215700341274,0.17791275759709668,50,50,sgd,64
MAPI,long,LSTM,168.24507127051731,0.20900008853480415,50,50,sgd,64
MAPI,long,GRU,94.9512460314715,0.11795185842418819,50,50,sgd,64
MAPI,long,RNN,175.74616955862382,0.2179747288132066,50,50,sgd,64
KLBF,long,LSTM,118.17570767124253,0.13058089245441165,50,50,sgd,64
KLBF,long,GRU,114.81501347800513,0.12686741820774047,50,50,sgd,64
KLBF,long,RNN,122.07498841314371,0.13488948995927486,50,50,sgd,64
TLKM,long,LSTM,208.45493859670142,0.12788646539674936,50,50,sgd,64
TLKM,long,GRU,123.65191911702188,0.07586007307792751,50,50,sgd,64
TLKM,long,RNN,305.6133007406894,0.16857822127894873,50,50,sgd,64
ASII,long,LSTM,195.04996785338838,0.07694278810784551,50,100,rmsprop,32
ASII,long,GRU,229.01431373845364,0.08552309575459179,50,100,rmsprop,32
ASII,long,RNN,230.22543219339914,0.0908187109244178,50,100,rmsprop,32
AMRT,long,LSTM,95.32620082993446,0.17986075628289522,50,100,rmsprop,32
AMRT,long,GRU,108.155324105671,0.18412469801002931,50,100,rmsprop,32
AMRT,long,RNN,123.83435311627528,0.23364972286089672,50,100,rmsprop,32
ADRO,long,LSTM,199.40212117497566,0.12620387416137702,50,100,rmsprop,32
ADRO,long,GRU,215.14283612565146,0.1361663519782604,50,100,rmsprop,32
ADRO,long,RNN,157.32671634098244,0.09395471788847617,50,100,rmsprop,32
MAPI,long,LSTM,93.47462117515057,0.1161175418324852,50,100,rmsprop,32
MAPI,long,GRU,60.411989350446824,0.07504594950366064,50,100,rmsprop,32
MAPI,long,RNN,190.6225414702915,0.2367981881618528,50,100,rmsprop,32
KLBF,long,LSTM,130.7661992768465,0.12687435327042335,50,100,rmsprop,32
KLBF,long,GRU,62.1947411079285,0.06872347083749006,50,100,rmsprop,32
KLBF,long,RNN,162.5289348347336,0.1795899832427996,50,100,rmsprop,32
TLKM,long,LSTM,163.27520414084074,0.09583240231853125,50,100,rmsprop,32
TLKM,long,GRU,63.62064025896491,0.03903106764353675,50,100,rmsprop,32
TLKM,long,RNN,227.6444347820757,0.13965916244299123,50,100,rmsprop,32
ASII,long,LSTM,125.41573733016047,0.04947366364108894,50,100,adam,32
ASII,long,GRU,107.91439902579644,0.042569782653174126,50,100,adam,32
ASII,long,RNN,260.22082511007454,0.09257051492692732,50,100,adam,32
AMRT,long,LSTM,74.76263833048259,0.1410615817556275,50,100,adam,32
AMRT,long,GRU,71.6621888930546,0.13521167715670676,50,100,adam,32
AMRT,long,RNN,290.2802136657127,0.4364532741214532,50,100,adam,32
ADRO,long,LSTM,200.69557032153398,0.12702251286173036,50,100,adam,32
ADRO,long,GRU,115.86951939706746,0.07333513885890346,50,100,adam,32
ADRO,long,RNN,194.7361769976374,0.12325074493521354,50,100,adam,32
MAPI,long,LSTM,86.43845412583586,0.10737696164700106,50,100,adam,32
MAPI,long,GRU,68.19663906250611,0.08243397951025233,50,100,adam,32
MAPI,long,RNN,170.27641413225956,0.18472491509639333,50,100,adam,32
