date,stock_code,open,high,low,close
2022-04-25,ASII,7050,7150,6875,7075
2022-04-26,ASII,7100,7200,7000,7200
2022-04-27,ASII,7175,7200,7050,7125
2022-04-28,ASII,7250,7700,7225,7575
2022-05-09,ASII,7425,7425,7050,7050
2022-05-10,ASII,6650,7000,6625,7000
2022-05-11,ASII,7025,7225,6900,6900
2022-05-12,ASII,6900,7025,6725,6850
2022-05-13,ASII,6900,7225,6850,7125
2022-05-17,ASII,7250,7300,7000,7000
2022-05-18,ASII,6975,7200,6925,7100
2022-05-19,ASII,6925,7125,6850,7000
2022-05-20,ASII,7050,7200,7050,7125
2022-05-23,ASII,7125,7175,6825,6950
2022-05-24,ASII,7025,7200,7025,7150
2022-05-25,ASII,7100,7175,7050,7100
2022-05-27,ASII,7200,7300,7150,7225
2022-05-30,ASII,7275,7275,7125,7250
2022-05-31,ASII,7250,7475,7250,7350
2022-06-02,ASII,7300,7500,7250,7325
2022-06-03,ASII,7350,7475,7300,7300
2022-06-06,ASII,7200,7250,7075,7225
2022-06-07,ASII,7300,7400,7200,7200
2022-06-08,ASII,7150,7350,7150,7175
2022-06-09,ASII,7150,7350,7150,7200
2022-06-10,ASII,7100,7175,6925,6925
2022-06-13,ASII,6900,7100,6725,7025
2022-06-14,ASII,6875,7000,6875,6975
2022-06-15,ASII,6975,6975,6700,6700
2022-06-16,ASII,6850,6950,6750,6850
2022-06-17,ASII,6675,6950,6675,6950
2022-06-20,ASII,6950,6975,6750,6925
2022-06-21,ASII,6900,6975,6850,6850
2022-06-22,ASII,6850,6925,6775,6800
2022-06-23,ASII,6850,6875,6750,6875
2022-06-24,ASII,6900,6900,6650,6675
2022-06-27,ASII,6700,6750,6550,6650
2022-06-28,ASII,6650,6700,6600,6700
2022-06-29,ASII,6625,6700,6500,6500
2022-06-30,ASII,6525,6650,6500,6625
2022-07-01,ASII,6675,6675,6500,6525
2022-07-04,ASII,6500,6575,6300,6500
2022-07-05,ASII,6500,6525,6325,6325
2022-07-06,ASII,6300,6400,6050,6075
2022-07-07,ASII,6025,6125,5900,5950
2022-07-08,ASII,6025,6075,5950,5975
2022-07-11,ASII,5975,6075,5925,6050
2022-07-12,ASII,6050,6150,6050,6100
2022-07-13,ASII,6100,6100,5825,5825
2022-07-14,ASII,5825,6100,5825,6100
2022-07-15,ASII,6000,6075,5925,5950
2022-07-18,ASII,5975,6025,5950,6025
2022-07-19,ASII,6025,6150,6025,6075
2022-07-20,ASII,6175,6275,6100,6275
2022-07-21,ASII,6200,6250,6050,6175
2022-07-22,ASII,6175,6175,6050,6075
2022-07-25,ASII,6050,6150,6050,6075
2022-07-26,ASII,6100,6125,6075,6100
2022-07-27,ASII,6125,6125,6000,6100
2022-07-28,ASII,6125,6150,6025,6050
2022-07-29,ASII,6150,6425,6125,6325
2022-08-01,ASII,6425,6550,6350,6475
2022-08-02,ASII,6475,6475,6275,6475
2022-08-03,ASII,6450,6600,6375,6600
2022-08-04,ASII,6700,6700,6450,6600
2022-08-05,ASII,6600,6650,6475,6625
2022-08-08,ASII,6625,6700,6525,6700
2022-08-09,ASII,6725,6825,6700,6750
2022-08-10,ASII,6775,6850,6600,6850
2022-08-11,ASII,6975,7000,6900,6950
2022-08-12,ASII,6950,7000,6850,6950
2022-08-15,ASII,6925,6950,6800,6875
2022-08-16,ASII,6875,7050,6875,6975
2022-08-18,ASII,6975,7000,6850,6975
2022-08-19,ASII,6975,7000,6900,6975
2022-08-22,ASII,6875,6925,6800,6925
2022-08-23,ASII,6900,7025,6850,6975
2022-08-24,ASII,6925,7050,6900,7050
2022-08-25,ASII,7050,7050,6950,6975
