date,stock_code,open,high,low,close,volume
2020-05-04,ASII,3850,3750,3610,3610,71301800
2020-05-05,ASII,3610,3660,3580,3610,54983300
2020-05-06,ASII,3610,3680,3580,3640,70425000
2020-05-08,ASII,3640,3740,3600,3740,63346500
2020-05-11,ASII,3740,3920,3750,3920,79511800
2020-05-12,ASII,3920,3920,3780,3820,58347900
2020-05-13,ASII,3820,3820,3710,3730,44974600
2020-05-14,ASII,3730,3710,3530,3570,80570900
2020-05-15,ASII,3570,3720,3560,3710,65284900
2020-05-18,ASII,3710,3950,3710,3910,88368200
2020-05-19,ASII,3910,4040,3940,3950,77238800
2020-05-20,ASII,3950,3980,3870,3970,38965700
2020-05-26,ASII,3970,4360,3970,4330,116041900
2020-05-27,ASII,4330,4390,4220,4350,68841200
2020-05-28,ASII,4350,4580,4350,4540,86825700
2020-05-29,ASII,4540,4770,4470,4770,164786500
2020-06-02,ASII,4770,4950,4630,4730,72425900
2020-06-03,ASII,4730,4950,4680,4890,76654100
2020-06-04,ASII,4890,4960,4740,4760,82711000
2020-06-05,ASII,4760,5025,4670,5000,63578800
2020-06-08,ASII,5000,5250,4990,5025,53808200
2020-06-09,ASII,5025,5125,4980,5000,43049500
2020-06-10,ASII,5000,5025,4650,4850,39812900
2020-06-11,ASII,4850,4840,4660,4700,53920100
2020-06-12,ASII,4700,4820,4400,4790,45837700
2020-06-15,ASII,4790,4850,4700,4740,42880500
2020-06-16,ASII,4740,5000,4800,4970,38736700
2020-06-17,ASII,4970,5000,4910,4970,24744500
2020-06-18,ASII,4970,4970,4800,4800,40331900
2020-06-19,ASII,4800,4910,4800,4890,62874800
2020-06-22,ASII,4890,4940,4850,4890,25097200
2020-06-23,ASII,4890,4940,4850,4900,29490500
2020-06-24,ASII,4900,5050,4900,5000,55421700
2020-06-25,ASII,5000,4920,4800,4900,34952700
2020-06-26,ASII,4900,4950,4900,4900,24019200
2020-06-29,ASII,4900,4900,4750,4800,29368700
2020-06-30,ASII,4800,4880,4800,4800,25197000
2020-07-01,ASII,4800,4860,4770,4810,22586000
2020-07-02,ASII,4810,4890,4810,4870,26575000
2020-07-03,ASII,4870,4910,4840,4850,20400200
2020-07-06,ASII,4850,4900,4840,4840,17783800
2020-07-07,ASII,4840,4910,4800,4830,46178600
2020-07-08,ASII,4830,4930,4770,4910,45246000
2020-07-09,ASII,4910,5000,4880,4900,33377800
2020-07-10,ASII,4900,4920,4830,4830,23181700
2020-07-13,ASII,4830,4910,4850,4900,22481400
2020-07-14,ASII,4900,4950,4880,4950,22418400
2020-07-15,ASII,4950,5200,4970,5150,64249400
2020-07-16,ASII,5150,5350,5150,5250,72113500
2020-07-17,ASII,5250,5300,5200,5200,46235300
2020-07-20,ASII,5200,5225,5025,5100,24829000
2020-07-21,ASII,5100,5450,5100,5375,51878900
2020-07-22,ASII,5375,5400,5200,5300,29493500
2020-07-23,ASII,5300,5325,5125,5175,27787400
2020-07-24,ASII,5175,5175,5000,5050,32338100
2020-07-27,ASII,5050,5150,5025,5125,17645200
2020-07-28,ASII,5125,5225,5100,5175,30210400
2020-07-29,ASII,5175,5225,5050,5075,32010100
2020-07-30,ASII,5075,5225,5000,5150,32720500
2020-08-03,ASII,5150,5150,4860,4880,66053200
2020-08-04,ASII,4880,4960,4900,4960,32307000
2020-08-05,ASII,4960,5100,4950,5050,22883900
2020-08-06,ASII,5050,5225,5050,5225,45906700
2020-08-07,ASII,5225,5300,5100,5275,35036700
2020-08-10,ASII,5275,5275,5125,5125,30588200
2020-08-11,ASII,5125,5250,5150,5225,19877700
2020-08-12,ASII,5225,5400,5175,5400,31304300
2020-08-13,ASII,5400,5550,5375,5400,36344700
2020-08-14,ASII,5400,5450,5350,5375,15337700
2020-08-18,ASII,5375,5450,5300,5375,34974800
2020-08-19,ASII,5375,5425,5250,5300,24870200
2020-08-24,ASII,5300,5350,5250,5300,20000900
2020-08-25,ASII,5300,5375,5300,5300,27807900
2020-08-26,ASII,5300,5400,5275,5350,29957700
2020-08-27,ASII,5350,5400,5250,5300,27491500
2020-08-28,ASII,5300,5325,5275,5325,20347900
2020-08-31,ASII,5325,5350,5100,5100,42240600
2020-09-01,ASII,5100,5250,5100,5250,20881000
2020-09-02,ASII,5250,5350,5200,5300,19074500
2020-09-03,ASII,5300,5350,5125,5175,38323300
2020-09-04,ASII,5175,5150,5025,5050,47966200
2020-09-07,ASII,5050,5075,4950,5025,37120700
2020-09-08,ASII,5025,5125,5025,5125,22790200
2020-09-09,ASII,5125,5025,4900,4900,62626200
2020-09-10,ASII,4900,4610,4560,4560,142910700
2020-09-11,ASII,4560,4700,4310,4630,76725700
2020-09-14,ASII,4630,4830,4700,4790,57904800
2020-09-15,ASII,4790,4870,4770,4820,35809700
2020-09-16,ASII,4820,4860,4780,4780,21529200
2020-09-17,ASII,4780,4880,4770,4860,26234600
2020-09-18,ASII,4860,4870,4760,4780,46011300
2020-09-21,ASII,4780,4800,4620,4670,23388100
2020-09-22,ASII,4670,4740,4590,4670,22893300
2020-09-23,ASII,4670,4730,4590,4630,15696100
2020-09-24,ASII,4630,4650,4560,4600,24393300
2020-09-25,ASII,4600,4920,4610,4860,40064600
2020-09-28,ASII,4860,4910,4740,4740,28967600
2020-09-29,ASII,4740,4800,4560,4570,31707100
2020-09-30,ASII,4570,4570,4450,4460,40490200
2020-10-01,ASII,4460,4640,4490,4610,32822900
2020-10-02,ASII,4610,4640,4520,4590,33355000
2020-10-05,ASII,4590,4630,4540,4560,20624400
2020-10-06,ASII,4560,4660,4600,4620,23682500
2020-10-07,ASII,4620,4630,4560,4630,21814000
2020-10-08,ASII,4630,4770,4630,4750,32946600
2020-10-09,ASII,4750,4760,4700,4740,19525000
2020-10-12,ASII,4740,4810,4700,4700,23749400
2020-10-13,ASII,4700,4750,4650,4740,25032100
2020-10-14,ASII,4740,4860,4710,4820,50174100
2020-10-15,ASII,4820,4820,4740,4740,29382300
2020-10-16,ASII,4740,4930,4700,4930,37775400
2020-10-19,ASII,4930,5075,4880,5000,38057900
2020-10-20,ASII,5000,5175,4960,5175,68915600
2020-10-21,ASII,5175,5250,5175,5250,52567200
2020-10-22,ASII,5250,5275,5200,5250,75883000
2020-10-23,ASII,5250,5400,5250,5400,46040700
2020-10-26,ASII,5400,5450,5300,5400,33055000
2020-10-27,ASII,5400,5500,5300,5425,45393900
2020-11-02,ASII,5425,5425,5275,5400,48772200
2020-11-03,ASII,5400,5500,5425,5500,44789800
2020-11-04,ASII,5500,5500,5350,5400,22433700
2020-11-05,ASII,5400,5550,5425,5500,25384200
2020-11-06,ASII,5500,5875,5525,5825,62036900
2020-11-09,ASII,5825,5850,5600,5600,53921900
2020-11-10,ASII,5600,5850,5700,5750,60062700
2020-11-11,ASII,5750,6025,5850,6000,56581600
2020-11-12,ASII,6000,6025,5775,6000,67819100
2020-11-13,ASII,6000,5925,5850,5900,24090900
2020-11-16,ASII,5900,6000,5900,5925,62526400
2020-11-17,ASII,5925,5975,5800,5800,28012800
2020-11-18,ASII,5800,5875,5750,5775,25384700
2020-11-19,ASII,5775,5775,5725,5725,35427800
2020-11-20,ASII,5725,5825,5700,5725,33703300
2020-11-23,ASII,5725,5850,5725,5800,40933800
2020-11-24,ASII,5800,5875,5800,5800,33117500
2020-11-25,ASII,5800,5875,5550,5550,117614100
2020-11-26,ASII,5550,5675,5500,5650,89572000
2020-11-27,ASII,5650,5700,5525,5550,98376500
2020-11-30,ASII,5550,5575,5200,5300,311402400
2020-12-01,ASII,5300,5550,5400,5550,119445500
2020-12-02,ASII,5550,5750,5575,5725,94220300
2020-12-03,ASII,5725,5750,5600,5625,54407800
2020-12-04,ASII,5625,5725,5550,5700,52405500
2020-12-07,ASII,5700,5900,5725,5850,92859500
2020-12-08,ASII,5850,5875,5675,5700,77339200
2020-12-10,ASII,5700,5875,5750,5825,92988900
2020-12-11,ASII,5825,5875,5650,5675,53669200
2020-12-14,ASII,5675,5750,5650,5675,43821600
2020-12-15,ASII,5675,5975,5650,5950,128853200
2020-12-16,ASII,5950,6200,6000,6125,98362500
2020-12-17,ASII,6125,6200,6050,6200,76361900
2020-12-18,ASII,6200,6275,6175,6200,81878000
2020-12-21,ASII,6200,6225,6100,6150,54800500
2020-12-22,ASII,6150,6250,5950,6075,94394100
2020-12-23,ASII,6075,6100,5825,6000,73880100
2020-12-28,ASII,6000,6175,5950,6075,32572200
2020-12-29,ASII,6075,6175,6000,6050,40341500
2020-12-30,ASII,6050,6125,6025,6025,39615400
2021-01-04,ASII,6025,6250,6025,6225,34840200
2021-01-05,ASII,6225,6250,6150,6175,27318400
2021-01-06,ASII,6175,6225,5950,6150,42778200
2021-01-07,ASII,6150,6200,6075,6075,33536400
2021-01-08,ASII,6075,6475,6100,6425,88590400
2021-01-11,ASII,6425,6600,6475,6525,57622400
2021-01-12,ASII,6525,6650,6400,6525,38226200
2021-01-13,ASII,6525,6800,6500,6775,56171600
2021-01-14,ASII,6775,6925,6775,6775,48209800
2021-01-15,ASII,6775,6850,6525,6575,45722300
2021-01-18,ASII,6575,6700,6525,6675,48444700
2021-01-19,ASII,6675,6775,6575,6675,37236400
2021-01-20,ASII,6675,6775,6625,6675,27403000
2021-01-21,ASII,6675,6800,6725,6800,32219700
2021-01-22,ASII,6800,6850,6600,6700,34960500
2021-01-25,ASII,6700,6650,6325,6475,73391700
2021-01-26,ASII,6475,6575,6300,6350,39158300
2021-01-27,ASII,6350,6350,6150,6275,56444100
2021-01-28,ASII,6275,6450,6150,6275,54596400
2021-01-29,ASII,6275,6375,5950,6100,71886200
2021-02-01,ASII,6100,6075,5750,6025,57416200
2021-02-02,ASII,6025,6150,5875,5975,42421400
2021-02-03,ASII,5975,6275,5950,6150,76420800
2021-02-04,ASII,6150,6225,6125,6200,29508100
2021-02-05,ASII,6200,6250,6050,6100,34366600
2021-02-08,ASII,6100,6200,6075,6100,28817400
2021-02-09,ASII,6100,6200,5825,5825,113795000
2021-02-10,ASII,5825,5975,5825,5900,43492200
2021-02-11,ASII,5900,5950,5825,5850,37890700
2021-02-15,ASII,5850,6250,5950,5950,178642200
