date,stock_code,open,high,low,close,volume
2022-07-06,ADRO,2880,2850,2720,2770,82120100
2022-07-07,ADRO,2770,2810,2720,2770,70438600
2022-07-08,ADRO,2770,2880,2820,2830,90522000
2022-07-11,ADRO,2830,2870,2800,2830,52681800
2022-07-12,ADRO,2830,2970,2840,2920,142532100
2022-07-13,ADRO,2920,2990,2900,2930,99629700
2022-07-14,ADRO,2930,2960,2880,2930,97805600
2022-07-15,ADRO,2930,2900,2760,2760,98942900
2022-07-18,ADRO,2760,2800,2730,2790,68984100
2022-07-19,ADRO,2790,2960,2760,2950,127898100
2022-07-20,ADRO,2950,3030,2980,3020,99298600
2022-07-21,ADRO,3020,3050,2970,3020,73196600
2022-07-22,ADRO,3020,3080,2990,3030,94295700
2022-07-25,ADRO,3030,3120,3040,3100,134979600
2022-07-26,ADRO,3100,3170,3120,3160,83178500
2022-07-27,ADRO,3160,3300,3180,3280,130334900
2022-07-28,ADRO,3280,3330,3250,3280,94451400
2022-07-29,ADRO,3280,3350,3230,3250,85291200
2022-08-01,ADRO,3250,3370,3240,3350,146347800
2022-08-02,ADRO,3350,3360,3180,3180,115843100
2022-08-03,ADRO,3180,3330,3180,3310,114512200
2022-08-04,ADRO,3310,3310,3160,3190,103859100
2022-08-05,ADRO,3190,3170,3100,3130,124725800
2022-08-08,ADRO,3130,3130,3030,3080,94030900
2022-08-09,ADRO,3080,3170,3100,3130,86949000
2022-08-10,ADRO,3130,3190,3120,3140,81369800
2022-08-11,ADRO,3140,3250,3150,3150,127285200
2022-08-12,ADRO,3150,3210,3130,3190,74206600
2022-08-15,ADRO,3190,3240,3150,3160,53868300
2022-08-16,ADRO,3160,3190,3120,3150,48691000
2022-08-18,ADRO,3150,3280,3170,3250,84704200
2022-08-19,ADRO,3250,3310,3240,3250,73447800
2022-08-22,ADRO,3250,3300,3140,3150,90711300
2022-08-23,ADRO,3150,3380,3160,3350,175076900
2022-08-24,ADRO,3350,3420,3270,3410,116927600
2022-08-25,ADRO,3410,3470,3370,3410,88737600
2022-08-26,ADRO,3410,3450,3390,3410,55022600
2022-08-29,ADRO,3410,3470,3330,3460,84861500
2022-08-30,ADRO,3460,3700,3530,3540,157577400
2022-08-31,ADRO,3540,3570,3480,3540,101731600
