date,stock_code,open,high,low,close,volume
2021-06-08,BBCA,32650,32875,32150,32150,12869600
2021-06-09,BBCA,32150,32675,31800,32650,15439600
2021-06-10,BBCA,32650,33100,32450,33100,14652500
2021-06-11,BBCA,33100,32900,32300,32350,14556100
2021-06-14,BBCA,32350,32600,32000,32050,12295700
2021-06-15,BBCA,32050,32350,32025,32350,17559800
2021-06-16,BBCA,32350,32175,31800,31925,9796800
2021-06-17,BBCA,31925,31950,31375,31650,13689700
2021-06-18,BBCA,31650,31725,31400,31625,23608600
2021-06-21,BBCA,31625,31500,31050,31250,12164700
2021-06-22,BBCA,31250,31950,31200,31700,13164800
2021-06-23,BBCA,31700,31700,31150,31150,10490200
2021-06-24,BBCA,31150,31550,31000,31050,11202000
2021-06-25,BBCA,31050,31300,30950,30950,13787900
2021-06-28,BBCA,30950,30750,30275,30275,16884100
2021-06-29,BBCA,30275,30450,30200,30225,10740800
2021-06-30,BBCA,30225,30350,30000,30125,13159000
2021-07-01,BBCA,30125,30375,30000,30125,11630600
2021-07-02,BBCA,30125,30700,30200,30500,13478500
2021-07-05,BBCA,30500,30650,30350,30550,7942100
2021-07-06,BBCA,30550,30550,30275,30275,6855900
2021-07-07,BBCA,30275,30900,30150,30325,7119000
2021-07-08,BBCA,30325,30200,29900,30075,9459400
2021-07-09,BBCA,30075,30100,29950,30100,8141500
2021-07-12,BBCA,30100,30900,30100,30850,13196300
2021-07-13,BBCA,30850,30875,30075,30225,13189300
2021-07-14,BBCA,30225,30150,29900,29950,11864200
2021-07-15,BBCA,29950,30575,29975,30575,9944800
2021-07-16,BBCA,30575,30850,30275,30550,9599700
2021-07-19,BBCA,30550,30550,30025,30025,9423800
2021-07-21,BBCA,30025,30600,30050,30050,11001900
2021-07-22,BBCA,30050,30775,30250,30775,12158400
2021-07-23,BBCA,30775,30950,30125,30175,15987600
2021-07-26,BBCA,30175,30300,30025,30025,9634300
2021-07-27,BBCA,30025,30300,30000,30025,10621500
2021-07-28,BBCA,30025,30050,29850,29900,14826600
2021-07-29,BBCA,29900,30425,29900,30200,16921000
2021-07-30,BBCA,30200,30500,29800,29850,21137000
2021-08-02,BBCA,29850,30325,29525,29800,23996300
2021-08-03,BBCA,29800,30900,29925,30725,22014300
2021-08-04,BBCA,30725,30750,30300,30600,8222400
2021-08-05,BBCA,30600,31550,30700,31500,18753600
2021-08-06,BBCA,31500,31800,30675,30800,13457000
2021-08-09,BBCA,30800,31000,30525,31000,10571700
2021-08-10,BBCA,31000,31500,30575,31500,12089200
